物件名,アドレス,最寄り,築年/階,階,賃料/管理費,敷金/礼金,間取り/専有面積
長谷川アパート,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩10分
None
None
","
築61年
2階建
","
											2階","1. 賃料: 2万円
1. 管理費: 2000円
2. 賃料: 2万円
2. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 13.6m2
2. ワンルーム
2. 13.6m2
"
ワイズコーポラス,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/南柏駅 歩27分
ＪＲ常磐線/北柏駅 歩42分
","
築56年
2階建
","
											2階","1. 賃料: 3.9万円
1. 管理費: -
2. 賃料: 4.1万円
2. 管理費: -
","1. 敷金: 3.9万円
1. 礼金: -
2. 敷金: 4.1万円
2. 礼金: -
","1. 2K
1. 22m2
2. 2K
2. 22m2
"
柏市旭町四丁目貸家,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩24分
東武野田線/豊四季駅 歩32分
","
築47年
2階建
","
											1-2階","1. 賃料: 8万円
1. 管理費: -
2. 賃料: 8万円
2. 管理費: -
","1. 敷金: 16万円
1. 礼金: -
2. 敷金: 16万円
2. 礼金: -
","1. 3DK
1. 65.19m2
2. 3DK
2. 65.19m2
"
ＪＲ常磐線 柏駅 2階建 築47年,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩15分
東武野田線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩25分
","
築47年
2階建
","
											1-2階","1. 賃料: 8万円
1. 管理費: -
","1. 敷金: 16万円
1. 礼金: -
","1. 3DK
1. 65.19m2
"
日新柏マンション,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩9分
東武野田線/柏駅 歩9分
ＪＲ常磐線/北柏駅 歩23分
","
築51年
7階建
","
											4階","1. 賃料: 6.7万円
1. 管理費: 5000円
","1. 敷金: 6.7万円
1. 礼金: -
","1. 2LDK
1. 58.28m2
"
安藤荘,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/南柏駅 歩29分
東武野田線/豊四季駅 歩29分
","
築49年
2階建
","
											2階","1. 賃料: 2.8万円
1. 管理費: -
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 20m2
"
東マンション,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩26分
つくばエクスプレス/柏の葉キャンパス駅 車11分(4.8km)
","
築51年
2階建
","
											2階","1. 賃料: 5万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1DK
1. 30m2
"
Jハイツ,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩25分
ＪＲ常磐線/南柏駅 歩40分
","
築51年
2階建
","
											1階","1. 賃料: 2.9万円
1. 管理費: 5000円
","1. 敷金: 2.9万円
1. 礼金: -
","1. 1K
1. 24.75m2
"
サンハイツ柏,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/南柏駅 歩24分
東武野田線/豊四季駅 歩36分
","
築50年
2階建
","
											1階","1. 賃料: 3万円
1. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 19.87m2
"
ＪＲ常磐線 柏駅 3階建 築36年,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩15分
東武野田線/柏駅 歩15分
ＪＲ常磐線/柏駅 歩15分
","
築36年
3階建
","
											1階","1. 賃料: 9.2万円
1. 管理費: 10000円
","1. 敷金: 9.2万円
1. 礼金: -
","1. 2LDK
1. 100m2
"
ランドフォレスト柏,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩15分
東武野田線/柏駅 歩15分
ＪＲ常磐線/北柏駅 歩20分
","
築36年
3階建
","
											1階","1. 賃料: 9.2万円
1. 管理費: 10000円
","1. 敷金: 9.2万円
1. 礼金: -
","1. 3LDK
1. 100m2
"
サンハイツ,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩10分
東武野田線/豊四季駅 歩33分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口下車 歩10分
","
築42年
3階建
","
											3階","1. 賃料: 6.5万円
1. 管理費: -
","1. 敷金: -
1. 礼金: -
","1. 3DK
1. 55.01m2
"
ジュネパレス柏第１７,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩17分
ＪＲ常磐線/北柏駅 歩15分
ＪＲ常磐線/我孫子駅 車9分(4.6km)
","
築36年
2階建
","
											2階","1. 賃料: 3.4万円
1. 管理費: 3500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 14.58m2
"
東宮前ハイツ,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩8分
東武野田線/柏駅 歩8分
ＪＲ常磐線/北柏駅 歩19分
","
築37年
2階建
","
											2階","1. 賃料: 5.3万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 2DK
1. 40m2
"
kawaguchiテラス,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/南柏駅 歩31分
東武野田線/豊四季駅 歩32分
","
築40年
2階建
","
											2階","1. 賃料: 6万円
1. 管理費: -
","1. 敷金: -
1. 礼金: -
","1. 2DK
1. 47m2
"
ＪＲ常磐線 柏駅 2階建 築36年,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩12分
東武野田線/柏駅 歩12分
ＪＲ常磐線/北柏駅 歩23分
","
築36年
2階建
","
											1階","1. 賃料: 3万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 15.99m2
"
メゾン柏,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/南柏駅 歩25分
東武野田線/新柏駅 歩38分
","
築43年
2階建
","
											1階","1. 賃料: 3.8万円
1. 管理費: 2500円
","1. 敷金: 3.8万円
1. 礼金: -
","1. 1DK
1. 24.8m2
"
メゾンオーキスＡ棟,千葉県柏市柏７,"ＪＲ常磐線/柏駅 歩10分
東武野田線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩23分
","
築37年
2階建
","
											1階","1. 賃料: 3.2万円
1. 管理費: 3000円
2. 賃料: 4.5万円
2. 管理費: 3000円
3. 賃料: 4.7万円
3. 管理費: 3000円
4. 賃料: 5.3万円
4. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
","1. 1K
1. 19.8m2
2. 1K
2. 19.71m2
3. 1K
3. 19.8m2
4. 1K
4. 19.8m2
"
オリーブガーデン,千葉県柏市旭町５,"ＪＲ常磐線/柏駅 歩9分
ＪＲ武蔵野線/新松戸駅 車15分(6.7km)
つくばエクスプレス/柏の葉キャンパス駅 車10分(5.8km)
","
築35年
4階建
","
											3階","1. 賃料: 8.9万円
1. 管理費: 7000円
","1. 敷金: 8.9万円
1. 礼金: -
","1. 3LDK
1. 57m2
"
アークヒル・カシワ,千葉県柏市柏,"ＪＲ常磐線/北柏駅 歩15分
ＪＲ常磐線/柏駅 歩25分
ＪＲ常磐線/南柏駅 車12分(4.7km)
","
築31年
2階建
","
											1階","1. 賃料: 5.4万円
1. 管理費: 3000円
2. 賃料: 5.6万円
2. 管理費: 3000円
","1. 敷金: 10.8万円
1. 礼金: -
2. 敷金: 5.6万円
2. 礼金: -
","1. 2LDK
1. 50.78m2
2. 2LDK
2. 50.78m2
"
アクステージ,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩9分
東武野田線/柏駅 歩9分
None
","
築26年
6階建
","
											3階","1. 賃料: 8万円
1. 管理費: 8000円
2. 賃料: 8.1万円
2. 管理費: 8000円
3. 賃料: 8.2万円
3. 管理費: 8000円
","1. 敷金: 8万円
1. 礼金: -
2. 敷金: 8.1万円
2. 礼金: -
3. 敷金: 8.2万円
3. 礼金: -
","1. 1LDK
1. 44.03m2
2. 1LDK
2. 41.64m2
3. 1LDK
3. 44.03m2
"
サニー柏,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩28分
東武野田線/豊四季駅 歩40分
","
築40年
3階建
","
											1階","1. 賃料: 7.2万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 3DK
1. 52.17m2
"
ジュネパレス柏第27,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/北柏駅 歩25分
つくばエクスプレス/柏の葉キャンパス駅 バス18分 (バス停)あけぼの町 歩9分
","
築36年
2階建
","
											1階","1. 賃料: 3万円
1. 管理費: 2000円
2. 賃料: 3万円
2. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 15.99m2
2. 1K
2. 15.99m2
"
木崎台マンション,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩15分
つくばエクスプレス/柏たなか駅 バス18分 (バス停)呼塚交差点 歩5分
ＪＲ常磐線/北柏駅 歩15分
","
築31年
6階建
","
											1階","1. 賃料: 7.8万円
1. 管理費: 7000円
","1. 敷金: -
1. 礼金: -
","1. 3LDK
1. 66m2
"
ＪＲ常磐線 柏駅 3階建 築40年,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/北柏駅 歩33分
東武野田線/豊四季駅 歩40分
","
築40年
3階建
","
											1階","1. 賃料: 7.7万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 3DK
1. 52.17m2
"
コスモ柏２,千葉県柏市柏７,"ＪＲ常磐線/柏駅 歩13分
東武野田線/柏駅 歩13分
ＪＲ常磐線/北柏駅 歩27分
","
築33年
3階建
","
											3階","1. 賃料: 12.5万円
1. 管理費: -
2. 賃料: 12.5万円
2. 管理費: -
3. 賃料: 12.8万円
3. 管理費: -
","1. 敷金: 12.5万円
1. 礼金: -
2. 敷金: 12.5万円
2. 礼金: -
3. 敷金: 12.8万円
3. 礼金: -
","1. 4LDK
1. 95.25m2
2. 4LDK
2. 91.77m2
3. 4LDK
3. 91.77m2
"
ＪＲ常磐線 柏駅 3階建 築33年,千葉県柏市柏７,"ＪＲ常磐線/柏駅 歩13分
ＪＲ常磐線/北柏駅 歩27分
None
","
築33年
3階建
","
											3階","1. 賃料: 12.5万円
1. 管理費: -
2. 賃料: 12.8万円
2. 管理費: -
","1. 敷金: 12.5万円
1. 礼金: -
2. 敷金: 12.8万円
2. 礼金: -
","1. 4LDK
1. 95.25m2
2. 4LDK
2. 91.77m2
"
藤和柏コープ,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩3分
東武野田線/柏駅 歩3分
ＪＲ常磐線/南柏駅 歩39分
","
築42年
7階建
","
											2階","1. 賃料: 8.4万円
1. 管理費: 5000円
","1. 敷金: 8.4万円
1. 礼金: -
","1. 3DK
1. 53m2
"
キャピタル柏,千葉県柏市旭町５,"ＪＲ常磐線/柏駅 歩13分
ＪＲ常磐線/南柏駅 歩26分
東武野田線/新柏駅 車10分(3.9km)
","
築35年
2階建
","
											2階","1. 賃料: 2.5万円
1. 管理費: 3000円
2. 賃料: 2.5万円
2. 管理費: 3000円
3. 賃料: 3万円
3. 管理費: 3000円
4. 賃料: 3万円
4. 管理費: 3000円
5. 賃料: 3万円
5. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
5. 敷金: -
5. 礼金: -
","1. ワンルーム
1. 14m2
2. ワンルーム
2. 14m2
3. ワンルーム
3. 14.16m2
4. ワンルーム
4. 14m2
5. ワンルーム
5. 14m2
"
サンクレストハイツ,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩14分
東武野田線/柏駅 歩14分
None
","
築34年
2階建
","
											1階","1. 賃料: 5.2万円
1. 管理費: 1000円
2. 賃料: 5.2万円
2. 管理費: 1000円
","1. 敷金: 10.4万円
1. 礼金: -
2. 敷金: 10.4万円
2. 礼金: -
","1. 2DK
1. 39m2
2. 2DK
2. 39m2
"
柏桜苑マンション,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩9分
東武野田線/柏駅 歩9分
None
","
築39年
3階建
","
											3階","1. 賃料: 5.6万円
1. 管理費: 3000円
","1. 敷金: 5.6万円
1. 礼金: -
","1. 2DK
1. 41.84m2
"
セザール柏,千葉県柏市あけぼの３,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 バス4分 (バス停)あけぼの町 歩2分
つくばエクスプレス/柏の葉キャンパス駅 バス22分 (バス停)柏第一小学校前 歩4分
","
築35年
4階建
","
											3階","1. 賃料: 4.6万円
1. 管理費: 4000円
2. 賃料: 8万円
2. 管理費: 5000円
","1. 敷金: 4.6万円
1. 礼金: 4.6万円
2. 敷金: 8万円
2. 礼金: 8万円
","1. 1DK
1. 24.75m2
2. 3LDK
2. 57.75m2
"
レジデンス鶴島,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/南柏駅 歩25分
東武野田線/豊四季駅 歩33分
","
築40年
2階建
","
											2階","1. 賃料: 4.5万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 2K
1. 31.47m2
"
山本第３コーポ,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩22分
東武野田線/柏駅 歩10分
","
築37年
地下1地上3階建
","
											1階","1. 賃料: 5.5万円
1. 管理費: 3000円
","1. 敷金: 11万円
1. 礼金: -
","1. 2DK
1. 38m2
"
ストリームハイツ,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩11分
東武野田線/柏駅 歩11分
ＪＲ常磐線/北柏駅 歩25分
","
築36年
2階建
","
											2階","1. 賃料: 6.2万円
1. 管理費: 3000円
","1. 敷金: 6.2万円
1. 礼金: -
","1. 2K
1. 30.83m2
"
ＪＲ常磐線 柏駅 4階建 築36年,千葉県柏市旭町５,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/南柏駅 歩26分
つくばエクスプレス/流山おおたかの森駅 車17分(5.1km)
","
築36年
4階建
","
											3階","1. 賃料: 8.9万円
1. 管理費: 7000円
2. 賃料: 8.9万円
2. 管理費: 7000円
","1. 敷金: 8.9万円
1. 礼金: -
2. 敷金: 8.9万円
2. 礼金: -
","1. 3LDK
1. 57m2
2. 3LDK
2. 57m2
"
ドゥオーモ柏,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/北柏駅 歩17分
None
","
築33年
2階建
","
											1階","1. 賃料: 2.2万円
1. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 16.2m2
"
第6メゾン祥,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/南柏駅 歩27分
東武野田線/柏駅 歩8分
","
築37年
3階建
","
											3階","1. 賃料: 3万円
1. 管理費: 3000円
2. 賃料: 3.2万円
2. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 20m2
2. 1K
2. 21.48m2
"
紫屋ビル,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/南柏駅 歩35分
ＪＲ常磐線/北柏駅 歩30分
","
築36年
5階建
","
											5階","1. 賃料: 3.5万円
1. 管理費: 5000円
2. 賃料: 3.5万円
2. 管理費: 5000円
3. 賃料: 3.5万円
3. 管理費: 5000円
4. 賃料: 3.8万円
4. 管理費: 5000円
5. 賃料: 10.3万円
5. 管理費: -
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
5. 敷金: -
5. 礼金: -
","1. ワンルーム
1. 16.95m2
2. ワンルーム
2. 16.95m2
3. ワンルーム
3. 16m2
4. ワンルーム
4. 16.95m2
5. 2DK
5. 64m2
"
ＪＲ常磐線 柏駅 4階建 築37年,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩11分
None
None
","
築37年
4階建
","
											3階","1. 賃料: 3.5万円
1. 管理費: 5000円
2. 賃料: 3.7万円
2. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. ワンルーム
1. 21m2
2. 1K
2. 21m2
"
オーキスビル,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩11分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩12分
ＪＲ常磐線/北柏駅 歩28分
","
築32年
4階建
","
											3階","1. 賃料: 3.7万円
1. 管理費: 5000円
2. 賃料: 3.7万円
2. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. ワンルーム
1. 19.44m2
2. ワンルーム
2. 21m2
"
ＪＲ常磐線 柏駅 2階建 築37年,千葉県柏市柏７,"ＪＲ常磐線/柏駅 歩10分
東武野田線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩24分
","
築37年
2階建
","
											1階","1. 賃料: 4.5万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 19.8m2
"
ＪＲ常磐線 柏駅 4階建 築35年,千葉県柏市あけぼの３,"ＪＲ常磐線/柏駅 歩10分
None
東武野田線/柏駅 歩10分
","
築35年
4階建
","
											3階","1. 賃料: 4.6万円
1. 管理費: 4000円
2. 賃料: 8万円
2. 管理費: 5000円
","1. 敷金: 4.6万円
1. 礼金: 4.6万円
2. 敷金: 8万円
2. 礼金: 8万円
","1. 1DK
1. 24.75m2
2. 3LDK
2. 57.75m2
"
ファミーユ宮前Ｂ,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩20分
ＪＲ常磐線/北柏駅 歩15分
None
","
築27年
2階建
","
											1階","1. 賃料: 7万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 2LDK
1. 53m2
"
ヴィラ小溝,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/北柏駅 歩23分
つくばエクスプレス/柏の葉キャンパス駅 歩56分
","
築33年
3階建
","
											2階","1. 賃料: 9.2万円
1. 管理費: 3000円
2. 賃料: 9万円
2. 管理費: 5000円
3. 賃料: 9.1万円
3. 管理費: 5000円
4. 賃料: 9.2万円
4. 管理費: 5000円
","1. 敷金: 9.2万円
1. 礼金: -
2. 敷金: 9万円
2. 礼金: -
3. 敷金: 9.1万円
3. 礼金: -
4. 敷金: 9.2万円
4. 礼金: -
","1. 3DK
1. 57.46m2
2. 3DK
2. 53.87m2
3. 3LDK
3. 55m2
4. 3LDK
4. 57.51m2
"
オオクマハイツ,千葉県柏市旭町３,"ＪＲ常磐線/柏駅 歩6分
東武野田線/柏駅 歩6分
ＪＲ常磐線/柏駅 歩6分
","
築37年
2階建
","
											1階","1. 賃料: 3.8万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1DK
1. 32.4m2
"
ジュネパレス柏第７２,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩22分
None
","
築35年
2階建
","
											1階","1. 賃料: 2.7万円
1. 管理費: 3500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 14.44m2
"
コーポブルーメ,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩8分
東武野田線/柏駅 歩8分
None
","
築36年
2階建
","
											2階","1. 賃料: 3.8万円
1. 管理費: 3000円
","1. 敷金: 3.8万円
1. 礼金: 3.8万円
","1. 1K
1. 18m2
"
コーポエム,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩10分
東武野田線/豊四季駅 歩48分
ＪＲ常磐線/北柏駅 歩23分
","
築35年
3階建
","
											1階","1. 賃料: 3.5万円
1. 管理費: -
2. 賃料: 3.5万円
2. 管理費: -
","1. 敷金: 3.5万円
1. 礼金: -
2. 敷金: 3.5万円
2. 礼金: -
","1. ワンルーム
1. 20.06m2
2. ワンルーム
2. 19m2
"
染谷ハイツ,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 バス4分 (バス停)あけぼの町 歩5分
つくばエクスプレス/柏の葉キャンパス駅 バス22分 (バス停)柏第一小学校前 歩2分
","
築38年
2階建
","
											2階","1. 賃料: 3.5万円
1. 管理費: 3000円
2. 賃料: 3.5万円
2. 管理費: 3000円
","1. 敷金: 3.5万円
1. 礼金: -
2. 敷金: 3.5万円
2. 礼金: -
","1. 1K
1. 24m2
2. 1K
2. 24m2
"
オークリバーズマンション,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/北柏駅 歩21分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口停 歩9分
","
築36年
4階建
","
											3階","1. 賃料: 3.5万円
1. 管理費: 3000円
2. 賃料: 3.7万円
2. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 27.5m2
2. 1K
2. 24.75m2
"
シェーヌ葉山,千葉県柏市柏７,"ＪＲ常磐線/柏駅 歩13分
東武野田線/柏駅 歩13分
None
","
築32年
2階建
","
											1階","1. 賃料: 4.6万円
1. 管理費: 3000円
","1. 敷金: 4.6万円
1. 礼金: -
","1. 2DK
1. 43m2
"
サンハイツあけぼの,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/南柏駅 歩38分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏中学校前 歩9分
","
築40年
3階建
","
											2階","1. 賃料: 7.5万円
1. 管理費: -
","1. 敷金: 7.5万円
1. 礼金: -
","1. 2LDK
1. 46.17m2
"
ＪＲ常磐線 柏駅 3階建 築33年,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩10分
None
None
","
築33年
3階建
","
											3階","1. 賃料: 9.1万円
1. 管理費: 5000円
2. 賃料: 9.2万円
2. 管理費: 5000円
","1. 敷金: 9.1万円
1. 礼金: -
2. 敷金: 9.2万円
2. 礼金: -
","1. 3DK
1. 57.46m2
2. 3DK
2. 57.46m2
"
柏セブンコーポ,千葉県柏市柏７,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/北柏駅 歩25分
ＪＲ常磐線/南柏駅 歩43分
","
築36年
2階建
","
											2階","1. 賃料: 2.7万円
1. 管理費: 5000円
2. 賃料: 2.9万円
2. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 14.58m2
2. 1K
2. 14.58m2
"
ジュネパレス柏第31,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩10分
東武野田線/豊四季駅 歩49分
ＪＲ常磐線/南柏駅 歩43分
","
築36年
2階建
","
											1階","1. 賃料: 3.4万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 18.22m2
"
フローテラス柏,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩13分
ＪＲ常磐線/南柏駅 歩26分
東武野田線/豊四季駅 歩30分
","
築33年
2階建
","
											2階","1. 賃料: 3.3万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 19.87m2
"
メゾン柏　２号棟,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩5分
None
None
","
築38年
2階建
","
											2階","1. 賃料: 4.1万円
1. 管理費: 1000円
","1. 敷金: 4.1万円
1. 礼金: 8.2万円
","1. 1K
1. 20m2
"
ニックハイム柏,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩4分
東武野田線/柏駅 歩4分
None
","
築39年
11階建
","
											11階","1. 賃料: 13万円
1. 管理費: 7000円
","1. 敷金: 13万円
1. 礼金: 26万円
","1. 3LDK
1. 86.49m2
"
ＪＲ常磐線 柏駅 11階建 築39年,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩4分
ＪＲ常磐線/北柏駅 歩30分
ＪＲ常磐線/南柏駅 車15分(3.2km)
","
築39年
11階建
","
											11階","1. 賃料: 13万円
1. 管理費: 7000円
","1. 敷金: 13万円
1. 礼金: 26万円
","1. 3LDK
1. 86.49m2
"
フォートレス,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩10分
東武野田線/豊四季駅 歩30分
つくばエクスプレス/流山おおたかの森駅 車9分(39.0km)
","
築35年
3階建
","
											2階","1. 賃料: 4万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 25.21m2
"
コ－ポあけぼの,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩11分
ＪＲ常磐線/北柏駅 歩19分
東武野田線/豊四季駅 歩45分
","
築35年
2階建
","
											1階","1. 賃料: 5万円
1. 管理費: 2000円
","1. 敷金: 10万円
1. 礼金: -
","1. 1DK
1. 29.16m2
"
アネシス柏I,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩25分
東武野田線/新柏駅 歩50分
","
築36年
2階建
","
											2階","1. 賃料: 3万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 14.14m2
"
