物件名,アドレス,最寄り,築年/階,階,賃料/管理費,敷金/礼金,間取り/専有面積
ＪＲ常磐線 柏駅 2階建 築36年,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/柏駅 歩7分
東武野田線/柏駅 歩7分
","
築36年
2階建
","
											2階","1. 賃料: 3万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 14.14m2
"
ＡＫ-2ビル,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/南柏駅 歩28分
","
築36年
6階建
","
											4階","1. 賃料: 3.6万円
1. 管理費: 5000円
2. 賃料: 3.6万円
2. 管理費: 5000円
3. 賃料: 3.6万円
3. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. ワンルーム
1. 18.76m2
2. ワンルーム
2. 18.76m2
3. ワンルーム
3. 17.5m2
"
高橋荘,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩15分
東武野田線/柏駅 歩15分
ＪＲ常磐線/北柏駅 歩15分
","
築28年
2階建
","
											1階","1. 賃料: 3.7万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 20.97m2
"
ＪＲ常磐線 柏駅 2階建 築28年,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩15分
東武野田線/柏駅 歩15分
ＪＲ常磐線/北柏駅 歩15分
","
築28年
2階建
","
											1階","1. 賃料: 3.7万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 20.97m2
"
ネモト第三ビル,千葉県柏市旭町１,"ＪＲ常磐線/柏駅 歩3分
ＪＲ常磐線/北柏駅 歩31分
ＪＲ常磐線/南柏駅 歩32分
","
築36年
地下2地上11階建
","
											10階","1. 賃料: 9.5万円
1. 管理費: 5000円
2. 賃料: 10万円
2. 管理費: 5000円
","1. 敷金: 9.5万円
1. 礼金: 9.5万円
2. 敷金: 10万円
2. 礼金: 10万円
","1. 3DK
1. 53.35m2
2. 3DK
2. 53.35m2
"
クレセントコート柏,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/北柏駅 バス4分 (バス停)あけぼの町 歩4分
つくばエクスプレス/柏の葉キャンパス駅 バス22分 (バス停)柏第一小学校前 歩3分
","
築32年
6階建
","
											3階","1. 賃料: 4.5万円
1. 管理費: 5000円
2. 賃料: 4.5万円
2. 管理費: 5000円
3. 賃料: 4.5万円
3. 管理費: 5000円
4. 賃料: 4.9万円
4. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
","1. ワンルーム
1. 17.92m2
2. ワンルーム
2. 17.92m2
3. ワンルーム
3. 17.92m2
4. ワンルーム
4. 17.92m2
"
ＪＲ常磐線 柏駅 2階建 築32年,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩8分
東武野田線/柏駅 歩8分
ＪＲ常磐線/南柏駅 歩28分
","
築32年
2階建
","
											1-2階","1. 賃料: 6.8万円
1. 管理費: 3000円
","1. 敷金: 6.8万円
1. 礼金: -
","1. 2DK
1. 57m2
"
コーポサカイ,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩29分
","
築38年
2階建
","
											1階","1. 賃料: 3.2万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 20.29m2
"
ＪＲ常磐線 柏駅 2階建 築35年,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/柏駅 歩7分
東武野田線/柏駅 歩7分
","
築35年
2階建
","
											2階","1. 賃料: 3.2万円
1. 管理費: 2500円
2. 賃料: 3.3万円
2. 管理費: 2500円
3. 賃料: 3.4万円
3. 管理費: 2500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. 1K
1. 15.69m2
2. 1K
2. 14.34m2
3. 1K
3. 15.39m2
"
レオパレス柏第２１,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/南柏駅 歩25分
つくばエクスプレス/流山おおたかの森駅 車15分(4.4km)
","
築35年
2階建
","
											2階","1. 賃料: 3.2万円
1. 管理費: 2500円
2. 賃料: 3.2万円
2. 管理費: 2500円
3. 賃料: 3.3万円
3. 管理費: 2500円
4. 賃料: 3.4万円
4. 管理費: 2500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
","1. 1K
1. 15.69m2
2. 1K
2. 15.69m2
3. 1K
3. 14.34m2
4. 1K
4. 15.39m2
"
ケントハウス,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩5分
","
築32年
2階建
","
											1階","1. 賃料: 4万円
1. 管理費: -
2. 賃料: 4.1万円
2. 管理費: -
3. 賃料: 4万円
3. 管理費: 2000円
4. 賃料: 4.3万円
4. 管理費: -
","1. 敷金: -
1. 礼金: -
2. 敷金: 4.1万円
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: 4.3万円
4. 礼金: -
","1. 1K
1. 15m2
2. 1K
2. 15m2
3. 1K
3. 15.5m2
4. 1K
4. 15m2
"
ＪＲ常磐線 柏駅 6階建 築36年,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩26分
ＪＲ常磐線/南柏駅 歩35分
","
築36年
6階建
","
											3階","1. 賃料: 3.6万円
1. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
","1. ワンルーム
1. 18.76m2
"
メゾン柏１号棟,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩5分
None
None
","
築39年
2階建
","
											2階","1. 賃料: 3.7万円
1. 管理費: 2000円
2. 賃料: 3.8万円
2. 管理費: 2000円
","1. 敷金: 3.7万円
1. 礼金: -
2. 敷金: 3.8万円
2. 礼金: -
","1. 1K
1. 20m2
2. 1K
2. 20m2
"
サンコ－ポマスダ,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩28分
ＪＲ常磐線/南柏駅 歩35分
","
築37年
4階建
","
											4階","1. 賃料: 3.7万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 23.1m2
"
コーポ・ドリーム,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩28分
ＪＲ常磐線/南柏駅 歩39分
","
築36年
2階建
","
											1階","1. 賃料: 3.8万円
1. 管理費: 2000円
2. 賃料: 4.2万円
2. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 22.31m2
2. 1K
2. 22.31m2
"
サニーハイツ,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/南柏駅 歩26分
東武野田線/豊四季駅 歩30分
","
築29年
2階建
","
											1階","1. 賃料: 4.3万円
1. 管理費: 3000円
2. 賃料: 4.4万円
2. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 24.58m2
2. 1K
2. 24.58m2
"
ＪＲ常磐線 柏駅 地下1地上10階建 築35年,千葉県柏市旭町１,"ＪＲ常磐線/柏駅 歩3分
ＪＲ常磐線/柏駅 歩3分
東武野田線/柏駅 歩3分
","
築35年
地下1地上10階建
","
											9階","1. 賃料: 5.1万円
1. 管理費: 4000円
2. 賃料: 5.3万円
2. 管理費: 4000円
3. 賃料: 5.5万円
3. 管理費: 4000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. ワンルーム
1. 22.68m2
2. ワンルーム
2. 22.68m2
3. ワンルーム
3. 22.68m2
"
エリートイン柏,千葉県柏市旭町１,"ＪＲ常磐線/柏駅 歩3分
ＪＲ常磐線/柏駅 歩3分
東武野田線/柏駅 歩3分
","
築35年
地下1地上10階建
","
											9階","1. 賃料: 5.1万円
1. 管理費: 4000円
2. 賃料: 5.3万円
2. 管理費: 4000円
3. 賃料: 5.5万円
3. 管理費: 4000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. ワンルーム
1. 22.68m2
2. ワンルーム
2. 22.68m2
3. ワンルーム
3. 22.68m2
"
ハイツドルチェ,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩5分
つくばエクスプレス/柏の葉キャンパス駅 バス28分 (バス停)あけぼの町 歩6分
None
","
築36年
2階建
","
											2階","1. 賃料: 3.3万円
1. 管理費: 2000円
2. 賃料: 3.4万円
2. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 20.12m2
2. 1K
2. 20.1m2
"
高野山第一ビル,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩27分
ＪＲ常磐線/南柏駅 歩39分
","
築34年
10階建
","
											5階","1. 賃料: 5.5万円
1. 管理費: 5000円
","1. 敷金: 5.5万円
1. 礼金: -
","1. ワンルーム
1. 26.97m2
"
リッツ,千葉県柏市旭町６,"ＪＲ常磐線/柏駅 歩13分
ＪＲ常磐線/南柏駅 歩28分
東武野田線/豊四季駅 歩30分
","
築29年
2階建
","
											2階","1. 賃料: 5.8万円
1. 管理費: 3000円
","1. 敷金: 5.8万円
1. 礼金: -
","1. 2DK
1. 40m2
"
ノヴェルズ95,千葉県柏市あけぼの３,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩25分
東武野田線/豊四季駅 歩45分
","
築33年
2階建
","
											2階","1. 賃料: 3万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 16.04m2
"
ジュネパレス柏第３０,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/南柏駅 歩29分
None
","
築35年
2階建
","
											1階","1. 賃料: 3.2万円
1. 管理費: 3500円
2. 賃料: 3.3万円
2. 管理費: 3500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 16.2m2
2. 1K
2. 14.26m2
"
ＪＲ常磐線 柏駅 6階建 築32年,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/北柏駅 車5分(2.1km)
つくばエクスプレス/柏の葉キャンパス駅 車12分(4.0km)
","
築32年
6階建
","
											3階","1. 賃料: 4.5万円
1. 管理費: 5000円
2. 賃料: 4.5万円
2. 管理費: 5000円
3. 賃料: 4.9万円
3. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. ワンルーム
1. 17.92m2
2. ワンルーム
2. 17.92m2
3. ワンルーム
3. 17.92m2
"
ＪＲ常磐線 柏駅 3階建 築33年,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩25分
","
築33年
3階建
","
											3階","1. 賃料: 6.9万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 2DK
1. 48.6m2
"
ＪＲ常磐線 柏駅 6階建 築32年,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/北柏駅 車5分(2.1km)
つくばエクスプレス/柏の葉キャンパス駅 車12分(4.0km)
","
築32年
6階建
","
											6階","1. 賃料: 4.5万円
1. 管理費: 5000円
2. 賃料: 4.9万円
2. 管理費: 5000円
3. 賃料: 5.1万円
3. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. ワンルーム
1. 17.92m2
2. ワンルーム
2. 17.92m2
3. ワンルーム
3. 18m2
"
コーポ天津,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
つくばエクスプレス/柏の葉キャンパス駅 車11分(5.2km)
ＪＲ武蔵野線/新松戸駅 車17分(7.8km)
","
築35年
5階建
","
											4階","1. 賃料: 4.8万円
1. 管理費: 2000円
2. 賃料: 4.8万円
2. 管理費: 2000円
","1. 敷金: 4.8万円
1. 礼金: -
2. 敷金: 4.8万円
2. 礼金: -
","1. 1K
1. 24.78m2
2. 1K
2. 24.79m2
"
ＪＲ常磐線 柏駅 5階建 築36年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩7分
None
None
","
築36年
5階建
","
											4階","1. 賃料: 4.8万円
1. 管理費: 2000円
","1. 敷金: 4.8万円
1. 礼金: -
","1. 1K
1. 24.79m2
"
パシフィークII,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/北柏駅 歩28分
つくばエクスプレス/柏の葉キャンパス駅 車10分(4.9km)
","
築27年
4階建
","
											1階","1. 賃料: 2.9万円
1. 管理費: 4000円
2. 賃料: 5万円
2. 管理費: 4000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 16.8m2
2. 1LDK
2. 41.25m2
"
キャロット柏,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩5分
None
None
","
築34年
6階建
","
											6階","1. 賃料: 4.5万円
1. 管理費: 5000円
2. 賃料: 20万円
2. 管理費: 10000円
","1. 敷金: 4.5万円
1. 礼金: -
2. 敷金: 40万円
2. 礼金: 20万円
","1. ワンルーム
1. 17.43m2
2. 5LDK
2. 118.36m2
"
ＪＲ常磐線 柏駅 6階建 築34年,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩3分
東武野田線/柏駅 歩3分
ＪＲ常磐線/北柏駅 歩27分
","
築34年
6階建
","
											6階","1. 賃料: 20万円
1. 管理費: 10000円
","1. 敷金: 40万円
1. 礼金: 20万円
","1. 5LDK
1. 118.39m2
"
山口ビル,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/南柏駅 歩35分
東武野田線/新柏駅 歩39分
","
築34年
8階建
","
											6階","1. 賃料: 8.1万円
1. 管理費: 6000円
","1. 敷金: 8.1万円
1. 礼金: -
","1. 3DK
1. 60.24m2
"
テラス旭,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/南柏駅 歩27分
東武野田線/新柏駅 車13分(3.6km)
","
築32年
2階建
","
											1-2階","1. 賃料: 6.8万円
1. 管理費: 3000円
2. 賃料: 6.8万円
2. 管理費: 3000円
","1. 敷金: 6.8万円
1. 礼金: -
2. 敷金: 6.8万円
2. 礼金: -
","1. 2DK
1. 57m2
2. 2DK
2. 57m2
"
KSマンション,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩28分
ＪＲ常磐線/南柏駅 歩40分
","
築35年
3階建
","
											3階","1. 賃料: 4.2万円
1. 管理費: -
2. 賃料: 4.3万円
2. 管理費: -
","1. 敷金: 4.2万円
1. 礼金: -
2. 敷金: 4.3万円
2. 礼金: -
","1. ワンルーム
1. 16m2
2. ワンルーム
2. 16m2
"
メゾン柏陽,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩23分
ＪＲ常磐線/南柏駅 歩40分
","
築36年
2階建
","
											2階","1. 賃料: 4.3万円
1. 管理費: 2000円
","1. 敷金: 4.3万円
1. 礼金: -
","1. 2K
1. 29.3m2
"
ＪＲ常磐線 柏駅 10階建 築34年,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩4分
ＪＲ常磐線/南柏駅 車12分(2.9km)
つくばエクスプレス/柏の葉キャンパス駅 車21分(5.4km)
","
築34年
10階建
","
											9階","1. 賃料: 7.8万円
1. 管理費: 7000円
2. 賃料: 8万円
2. 管理費: 7000円
","1. 敷金: 15.6万円
1. 礼金: 7.8万円
2. 敷金: 16万円
2. 礼金: 8万円
","1. 2DK
1. 51m2
2. 2DK
2. 51m2
"
ＪＲ常磐線 柏駅 2階建 築33年,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/南柏駅 歩28分
None
","
築33年
2階建
","
											2階","1. 賃料: 4.5万円
1. 管理費: 4500円
","1. 敷金: -
1. 礼金: -
","1. 1DK
1. 25.53m2
"
第１１ユーカリハイツ,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩5分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩6分
ＪＲ常磐線/北柏駅 歩25分
","
築36年
3階建
","
											3階","1. 賃料: 6.9万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 2DK
1. 39.1m2
"
ＪＲ常磐線 柏駅 9階建 築34年,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩7分
東武野田線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩25分
","
築34年
9階建
","
											3階","1. 賃料: 7万円
1. 管理費: 5000円
","1. 敷金: 7万円
1. 礼金: -
","1. ワンルーム
1. 33m2
"
ブラウンハイム柏,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩7分
None
None
","
築34年
4階建
","
											2階","1. 賃料: 6万円
1. 管理費: 3000円
","1. 敷金: 12万円
1. 礼金: -
","1. 2K
1. 37.69m2
"
ＹＲレジデンス,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩27分
ＪＲ常磐線/南柏駅 歩38分
","
築27年
7階建
","
											4階","1. 賃料: 6.3万円
1. 管理費: 6000円
","1. 敷金: -
1. 礼金: 6.3万円
","1. 1DK
1. 30.75m2
"
ＪＲ常磐線 柏駅 8階建 築34年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩29分
None
","
築34年
8階建
","
											6階","1. 賃料: 8.1万円
1. 管理費: 6000円
","1. 敷金: 8.1万円
1. 礼金: -
","1. 3DK
1. 60.24m2
"
トーカン柏キャステール,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩30分
ＪＲ常磐線/南柏駅 歩36分
","
築35年
9階建
","
											9階","1. 賃料: 12万円
1. 管理費: -
","1. 敷金: 12万円
1. 礼金: -
","1. 1LDK
1. 61.95m2
"
マスターズ,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩23分
","
築32年
2階建
","
											2階","1. 賃料: 4万円
1. 管理費: -
","1. 敷金: 4万円
1. 礼金: -
","1. 1K
1. 15.01m2
"
ＪＲ常磐線 柏駅 2階建 築35年,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/南柏駅 歩29分
東武野田線/新柏駅 歩43分
","
築35年
2階建
","
											2階","1. 賃料: 3.2万円
1. 管理費: 3500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 13.72m2
"
スカイハイツ,千葉県柏市あけぼの５,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/北柏駅 歩28分
東武野田線/豊四季駅 歩39分
","
築29年
2階建
","
											2階","1. 賃料: 3.4万円
1. 管理費: 2000円
2. 賃料: 3.4万円
2. 管理費: 2000円
3. 賃料: 4万円
3. 管理費: -
4. 賃料: 4万円
4. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
","1. ワンルーム
1. 18.17m2
2. ワンルーム
2. 17.35m2
3. ワンルーム
3. 17.35m2
4. ワンルーム
4. 17.35m2
"
ＪＲ常磐線 柏駅 3階建 築30年,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩10分
東武野田線/柏駅 歩10分
ＪＲ常磐線/南柏駅 歩30分
","
築30年
3階建
","
											2階","1. 賃料: 4万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 25.21m2
"
ジョイフル柏,千葉県柏市あけぼの５,"ＪＲ常磐線/柏駅 歩10分
東武野田線/豊四季駅 歩40分
つくばエクスプレス/柏の葉キャンパス駅 歩47分
","
築29年
5階建
","
											2階","1. 賃料: 3.7万円
1. 管理費: 4000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 16.5m2
"
染谷エステートビル,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩4分
東武野田線/柏駅 歩4分
None
","
築34年
10階建
","
											9階","1. 賃料: 7.8万円
1. 管理費: 7000円
2. 賃料: 8万円
2. 管理費: 7000円
","1. 敷金: 15.6万円
1. 礼金: 7.8万円
2. 敷金: 16万円
2. 礼金: 8万円
","1. 2DK
1. 51m2
2. 2DK
2. 51m2
"
かざりやビル,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩34分
ＪＲ常磐線/南柏駅 歩35分
","
築35年
5階建
","
											3階","1. 賃料: 5.3万円
1. 管理費: 2000円
","1. 敷金: 5.3万円
1. 礼金: 5.3万円
","1. 2K
1. 31.28m2
"
グルーラ柏,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/南柏駅 歩29分
東武野田線/新柏駅 歩42分
","
築34年
2階建
","
											2階","1. 賃料: 4.4万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1DK
1. 24.96m2
"
クレセントコート柏Ａ,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/北柏駅 歩27分
ＪＲ常磐線/南柏駅 歩40分
","
築32年
6階建
","
											6階","1. 賃料: 4.5万円
1. 管理費: 5000円
2. 賃料: 4.5万円
2. 管理費: 5000円
3. 賃料: 5.1万円
3. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. ワンルーム
1. 17.92m2
2. ワンルーム
2. 17.92m2
3. ワンルーム
3. 18m2
"
ホワイトパレスコミゾ,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩7分
None
None
","
築34年
9階建
","
											3階","1. 賃料: 7万円
1. 管理費: 5000円
","1. 敷金: 7万円
1. 礼金: -
","1. ワンルーム
1. 33m2
"
サンパレス柏,千葉県柏市旭町１,"ＪＲ常磐線/柏駅 歩3分
ＪＲ常磐線/北柏駅 バス6分 (バス停)柏駅西口 歩6分
東武野田線/新柏駅 車10分(4.0km)
","
築35年
3階建
","
											2階","1. 賃料: 4.5万円
1. 管理費: 2500円
2. 賃料: 4.5万円
2. 管理費: 2500円
","1. 敷金: 4.5万円
1. 礼金: -
2. 敷金: 4.5万円
2. 礼金: -
","1. 1K
1. 24.7m2
2. 1K
2. 24.7m2
"
コ－マス柏,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩29分
ＪＲ常磐線/南柏駅 歩35分
","
築34年
5階建
","
											1階","1. 賃料: 6.8万円
1. 管理費: -
","1. 敷金: 6.8万円
1. 礼金: -
","1. 1DK
1. 31.2m2
"
ハーベスト,千葉県柏市旭町３,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/南柏駅 歩32分
ＪＲ常磐線/北柏駅 歩36分
","
築32年
2階建
","
											2階","1. 賃料: 3.2万円
1. 管理費: 1000円
2. 賃料: 3.3万円
2. 管理費: 1000円
3. 賃料: 3.4万円
3. 管理費: 1000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. ワンルーム
1. 15.06m2
2. ワンルーム
2. 14m2
3. ワンルーム
3. 16m2
"
武藤眼科ビル,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩29分
","
築34年
7階建
","
											2階","1. 賃料: 5.3万円
1. 管理費: 5000円
","1. 敷金: 5.3万円
1. 礼金: -
","1. 1K
1. 25.2m2
"
