物件名,アドレス,最寄り,築年/階,階,賃料/管理費,敷金/礼金,間取り/専有面積
ＪＲ常磐線 柏駅 13階建 築31年,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩4分
東武野田線/柏駅 歩4分
ＪＲ常磐線/柏駅 歩4分
","
築31年
13階建
","
											13階","1. 賃料: 3.6万円
1. 管理費: 8000円
2. 賃料: 3.6万円
2. 管理費: 8000円
3. 賃料: 3.6万円
3. 管理費: 8000円
4. 賃料: 3.6万円
4. 管理費: 8000円
5. 賃料: 3.6万円
5. 管理費: 8000円
6. 賃料: 3.7万円
6. 管理費: 8000円
7. 賃料: 3.7万円
7. 管理費: 8000円
8. 賃料: 3.7万円
8. 管理費: 8000円
9. 賃料: 3.7万円
9. 管理費: 8000円
10. 賃料: 3.7万円
10. 管理費: 8000円
11. 賃料: 3.7万円
11. 管理費: 8000円
12. 賃料: 3.7万円
12. 管理費: 8000円
13. 賃料: 3.7万円
13. 管理費: 8000円
14. 賃料: 3.7万円
14. 管理費: 8000円
15. 賃料: 3.8万円
15. 管理費: 8000円
16. 賃料: 3.8万円
16. 管理費: 8000円
17. 賃料: 3.8万円
17. 管理費: 8000円
18. 賃料: 3.8万円
18. 管理費: 8000円
19. 賃料: 3.8万円
19. 管理費: 8000円
20. 賃料: 3.9万円
20. 管理費: 8000円
21. 賃料: 3.9万円
21. 管理費: 8000円
22. 賃料: 3.9万円
22. 管理費: 8000円
23. 賃料: 3.9万円
23. 管理費: 8000円
24. 賃料: 3.9万円
24. 管理費: 8000円
25. 賃料: 3.9万円
25. 管理費: 8000円
26. 賃料: 3.9万円
26. 管理費: 8000円
27. 賃料: 3.9万円
27. 管理費: 8000円
28. 賃料: 3.9万円
28. 管理費: 8000円
29. 賃料: 3.9万円
29. 管理費: 8000円
30. 賃料: 3.9万円
30. 管理費: 8000円
31. 賃料: 3.9万円
31. 管理費: 8000円
32. 賃料: 3.9万円
32. 管理費: 8000円
33. 賃料: 3.9万円
33. 管理費: 8000円
34. 賃料: 4万円
34. 管理費: 8000円
35. 賃料: 4万円
35. 管理費: 8000円
36. 賃料: 4万円
36. 管理費: 8000円
37. 賃料: 4万円
37. 管理費: 8000円
38. 賃料: 4万円
38. 管理費: 8000円
39. 賃料: 4万円
39. 管理費: 8000円
40. 賃料: 4万円
40. 管理費: 8000円
41. 賃料: 4万円
41. 管理費: 8000円
42. 賃料: 4万円
42. 管理費: 8000円
43. 賃料: 4万円
43. 管理費: 8000円
44. 賃料: 4万円
44. 管理費: 8000円
45. 賃料: 4万円
45. 管理費: 8000円
46. 賃料: 4万円
46. 管理費: 8000円
47. 賃料: 4万円
47. 管理費: 8000円
48. 賃料: 4万円
48. 管理費: 8000円
49. 賃料: 4万円
49. 管理費: 8000円
50. 賃料: 4万円
50. 管理費: 8000円
51. 賃料: 4万円
51. 管理費: 8000円
52. 賃料: 4万円
52. 管理費: 8000円
53. 賃料: 4万円
53. 管理費: 8000円
54. 賃料: 4万円
54. 管理費: 8000円
55. 賃料: 4万円
55. 管理費: 8000円
56. 賃料: 4万円
56. 管理費: 8000円
57. 賃料: 4万円
57. 管理費: 8000円
58. 賃料: 4万円
58. 管理費: 8000円
59. 賃料: 4万円
59. 管理費: 8000円
60. 賃料: 4万円
60. 管理費: 8000円
61. 賃料: 4万円
61. 管理費: 8000円
62. 賃料: 4万円
62. 管理費: 8000円
63. 賃料: 4万円
63. 管理費: 8000円
64. 賃料: 4万円
64. 管理費: 8000円
65. 賃料: 4万円
65. 管理費: 8000円
66. 賃料: 4万円
66. 管理費: 8000円
67. 賃料: 4万円
67. 管理費: 8000円
68. 賃料: 4万円
68. 管理費: 8000円
69. 賃料: 4.1万円
69. 管理費: 8000円
70. 賃料: 4.1万円
70. 管理費: 8000円
71. 賃料: 4.1万円
71. 管理費: 8000円
72. 賃料: 4.1万円
72. 管理費: 8000円
73. 賃料: 4.1万円
73. 管理費: 8000円
74. 賃料: 4.1万円
74. 管理費: 8000円
","1. 敷金: 5万円
1. 礼金: 3.6万円
2. 敷金: 5万円
2. 礼金: 3.6万円
3. 敷金: 5万円
3. 礼金: 3.6万円
4. 敷金: 5万円
4. 礼金: 3.6万円
5. 敷金: 5万円
5. 礼金: 3.6万円
6. 敷金: 5万円
6. 礼金: 3.7万円
7. 敷金: 5万円
7. 礼金: 3.7万円
8. 敷金: 5万円
8. 礼金: 3.7万円
9. 敷金: 5万円
9. 礼金: 3.7万円
10. 敷金: 5万円
10. 礼金: 3.7万円
11. 敷金: 5万円
11. 礼金: 3.7万円
12. 敷金: 5万円
12. 礼金: 3.7万円
13. 敷金: 5万円
13. 礼金: 3.7万円
14. 敷金: 5万円
14. 礼金: 3.7万円
15. 敷金: 5万円
15. 礼金: 3.8万円
16. 敷金: 5万円
16. 礼金: 3.8万円
17. 敷金: 5万円
17. 礼金: 3.8万円
18. 敷金: 5万円
18. 礼金: 3.8万円
19. 敷金: 5万円
19. 礼金: 3.8万円
20. 敷金: 5万円
20. 礼金: 3.9万円
21. 敷金: 5万円
21. 礼金: 3.9万円
22. 敷金: 5万円
22. 礼金: 3.9万円
23. 敷金: 5万円
23. 礼金: 3.9万円
24. 敷金: 5万円
24. 礼金: 3.9万円
25. 敷金: 5万円
25. 礼金: 3.9万円
26. 敷金: 5万円
26. 礼金: 3.9万円
27. 敷金: 5万円
27. 礼金: 3.9万円
28. 敷金: 5万円
28. 礼金: 3.9万円
29. 敷金: 5万円
29. 礼金: 3.9万円
30. 敷金: 5万円
30. 礼金: 3.9万円
31. 敷金: 5万円
31. 礼金: 3.9万円
32. 敷金: 5万円
32. 礼金: 3.9万円
33. 敷金: 5万円
33. 礼金: 3.9万円
34. 敷金: 5万円
34. 礼金: 4万円
35. 敷金: 5万円
35. 礼金: 4万円
36. 敷金: 5万円
36. 礼金: 4万円
37. 敷金: 5万円
37. 礼金: 4万円
38. 敷金: 5万円
38. 礼金: 4万円
39. 敷金: 5万円
39. 礼金: 4万円
40. 敷金: 5万円
40. 礼金: 4万円
41. 敷金: 5万円
41. 礼金: 4万円
42. 敷金: 5万円
42. 礼金: 4万円
43. 敷金: 5万円
43. 礼金: 4万円
44. 敷金: 5万円
44. 礼金: 4万円
45. 敷金: 5万円
45. 礼金: 4万円
46. 敷金: 5万円
46. 礼金: 4万円
47. 敷金: 5万円
47. 礼金: 4万円
48. 敷金: 5万円
48. 礼金: 4万円
49. 敷金: 5万円
49. 礼金: 4万円
50. 敷金: 5万円
50. 礼金: 4万円
51. 敷金: 5万円
51. 礼金: 4万円
52. 敷金: 5万円
52. 礼金: 4万円
53. 敷金: 5万円
53. 礼金: 4万円
54. 敷金: 5万円
54. 礼金: 4万円
55. 敷金: 5万円
55. 礼金: 4万円
56. 敷金: 5万円
56. 礼金: 4万円
57. 敷金: 5万円
57. 礼金: 4万円
58. 敷金: 5万円
58. 礼金: 4万円
59. 敷金: 5万円
59. 礼金: 4万円
60. 敷金: 5万円
60. 礼金: 4万円
61. 敷金: 5万円
61. 礼金: 4万円
62. 敷金: 5万円
62. 礼金: 4万円
63. 敷金: 5万円
63. 礼金: 4万円
64. 敷金: 5万円
64. 礼金: 4万円
65. 敷金: 5万円
65. 礼金: 4万円
66. 敷金: 5万円
66. 礼金: 4万円
67. 敷金: 5万円
67. 礼金: 4万円
68. 敷金: 5万円
68. 礼金: 4万円
69. 敷金: 5万円
69. 礼金: 4.1万円
70. 敷金: 5万円
70. 礼金: 4.1万円
71. 敷金: 5万円
71. 礼金: 4.1万円
72. 敷金: 5万円
72. 礼金: 4.1万円
73. 敷金: 5万円
73. 礼金: 4.1万円
74. 敷金: 5万円
74. 礼金: 4.1万円
","1. ワンルーム
1. 18m2
2. ワンルーム
2. 18m2
3. ワンルーム
3. 18m2
4. ワンルーム
4. 18m2
5. ワンルーム
5. 18m2
6. ワンルーム
6. 18m2
7. ワンルーム
7. 18m2
8. ワンルーム
8. 18m2
9. ワンルーム
9. 18m2
10. ワンルーム
10. 18m2
11. ワンルーム
11. 18m2
12. ワンルーム
12. 18m2
13. ワンルーム
13. 18m2
14. ワンルーム
14. 18m2
15. ワンルーム
15. 18m2
16. ワンルーム
16. 18m2
17. ワンルーム
17. 18m2
18. ワンルーム
18. 18m2
19. ワンルーム
19. 18m2
20. ワンルーム
20. 18m2
21. ワンルーム
21. 18m2
22. ワンルーム
22. 18m2
23. ワンルーム
23. 18m2
24. ワンルーム
24. 18m2
25. ワンルーム
25. 18m2
26. ワンルーム
26. 18m2
27. ワンルーム
27. 18m2
28. ワンルーム
28. 18m2
29. ワンルーム
29. 18m2
30. ワンルーム
30. 18m2
31. ワンルーム
31. 18m2
32. ワンルーム
32. 18m2
33. ワンルーム
33. 18m2
34. ワンルーム
34. 18m2
35. ワンルーム
35. 18m2
36. ワンルーム
36. 18m2
37. ワンルーム
37. 18m2
38. ワンルーム
38. 18m2
39. ワンルーム
39. 18m2
40. ワンルーム
40. 18m2
41. ワンルーム
41. 18m2
42. ワンルーム
42. 18m2
43. ワンルーム
43. 18m2
44. ワンルーム
44. 18m2
45. ワンルーム
45. 18m2
46. ワンルーム
46. 18m2
47. ワンルーム
47. 18m2
48. ワンルーム
48. 18m2
49. ワンルーム
49. 18m2
50. ワンルーム
50. 18m2
51. ワンルーム
51. 18m2
52. ワンルーム
52. 18m2
53. ワンルーム
53. 18m2
54. ワンルーム
54. 18m2
55. ワンルーム
55. 18m2
56. ワンルーム
56. 18m2
57. ワンルーム
57. 18m2
58. ワンルーム
58. 18m2
59. ワンルーム
59. 18m2
60. ワンルーム
60. 18m2
61. ワンルーム
61. 18m2
62. ワンルーム
62. 18m2
63. ワンルーム
63. 18m2
64. ワンルーム
64. 18m2
65. ワンルーム
65. 18m2
66. ワンルーム
66. 18m2
67. ワンルーム
67. 18m2
68. ワンルーム
68. 18m2
69. ワンルーム
69. 18m2
70. ワンルーム
70. 18m2
71. ワンルーム
71. 18m2
72. ワンルーム
72. 18m2
73. ワンルーム
73. 18m2
74. ワンルーム
74. 18m2
"
Ｒｅｇａｌｏ　Ｋａｓｈｉｗａ,千葉県柏市旭町１,"ＪＲ常磐線/柏駅 歩2分
ＪＲ常磐線/南柏駅 歩32分
つくばエクスプレス/流山おおたかの森駅 車16分(5.0km)
","
築6年
4階建
","
											4階","1. 賃料: 7.6万円
1. 管理費: 4000円
2. 賃料: 7.8万円
2. 管理費: 4000円
3. 賃料: 7.8万円
3. 管理費: 4000円
4. 賃料: 8万円
4. 管理費: 4000円
","1. 敷金: 7.6万円
1. 礼金: -
2. 敷金: 7.8万円
2. 礼金: -
3. 敷金: 7.8万円
3. 礼金: -
4. 敷金: 8万円
4. 礼金: -
","1. 1K
1. 28.69m2
2. 1K
2. 28.69m2
3. 1K
3. 25.5m2
4. 1K
4. 28.69m2
"
ＪＲ常磐線 柏駅 2階建 築29年,千葉県柏市あけぼの５,"ＪＲ常磐線/柏駅 歩10分
None
None
","
築29年
2階建
","
											2階","1. 賃料: 4万円
1. 管理費: -
","1. 敷金: -
1. 礼金: -
","1. ワンルーム
1. 19.83m2
"
アネックス・コア柏B,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩6分
東武野田線/柏駅 歩6分
None
","
築27年
2階建
","
											2階","1. 賃料: 4.5万円
1. 管理費: 3500円
2. 賃料: 4.7万円
2. 管理費: 3500円
","1. 敷金: 4.5万円
1. 礼金: 2.25万円
2. 敷金: 4.7万円
2. 礼金: 4.7万円
","1. 1K
1. 19.4m2
2. 1K
2. 19.4m2
"
ジュネパレス長谷川,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩29分
東武野田線/新柏駅 車12分(3.8km)
","
築31年
8階建
","
											6階","1. 賃料: 4.2万円
1. 管理費: 6000円
2. 賃料: 4.3万円
2. 管理費: 6000円
3. 賃料: 4.5万円
3. 管理費: 6000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. 1K
1. 21.26m2
2. 1K
2. 21.26m2
3. 1K
3. 21.26m2
"
旭町ビル,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩8分
東武野田線/豊四季駅 歩27分
ＪＲ常磐線/南柏駅 車7分(2.8km)
","
築30年
3階建
","
											3階","1. 賃料: 5.8万円
1. 管理費: 3000円
","1. 敷金: 5.8万円
1. 礼金: -
","1. ワンルーム
1. 35.47m2
"
ラ・プレミール,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/北柏駅 歩15分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩15分
","
築21年
5階建
","
											4階","1. 賃料: 11.2万円
1. 管理費: 11000円
","1. 敷金: 16.8万円
1. 礼金: 11.2万円
","1. 3LDK
1. 70.83m2
"
アーバンパーク柏,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩7分
東武野田線/柏駅 歩7分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩7分
","
築25年
8階建
","
											5階","1. 賃料: 12.3万円
1. 管理費: 10000円
2. 賃料: 12.5万円
2. 管理費: 10000円
3. 賃料: 12.3万円
3. 管理費: 15000円
4. 賃料: 12.8万円
4. 管理費: 15000円
","1. 敷金: 12.3万円
1. 礼金: -
2. 敷金: 12.5万円
2. 礼金: -
3. 敷金: 12.3万円
3. 礼金: -
4. 敷金: 12.8万円
4. 礼金: -
","1. 3LDK
1. 69.91m2
2. 3LDK
2. 70.57m2
3. 3LDK
3. 69.91m2
4. 3LDK
4. 70.54m2
"
ドミール柏,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩4分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩5分
ＪＲ常磐線/北柏駅 歩29分
","
築31年
13階建
","
											13階","1. 賃料: 3.6万円
1. 管理費: 8000円
2. 賃料: 3.7万円
2. 管理費: 8000円
3. 賃料: 3.7万円
3. 管理費: 8000円
4. 賃料: 3.7万円
4. 管理費: 8000円
5. 賃料: 3.7万円
5. 管理費: 8000円
6. 賃料: 3.7万円
6. 管理費: 8000円
7. 賃料: 3.7万円
7. 管理費: 8000円
8. 賃料: 3.7万円
8. 管理費: 8000円
9. 賃料: 3.8万円
9. 管理費: 8000円
10. 賃料: 3.8万円
10. 管理費: 8000円
11. 賃料: 3.8万円
11. 管理費: 8000円
12. 賃料: 3.8万円
12. 管理費: 8000円
13. 賃料: 3.9万円
13. 管理費: 8000円
14. 賃料: 3.9万円
14. 管理費: 8000円
15. 賃料: 3.9万円
15. 管理費: 8000円
16. 賃料: 3.9万円
16. 管理費: 8000円
17. 賃料: 4万円
17. 管理費: 8000円
18. 賃料: 4万円
18. 管理費: 8000円
19. 賃料: 4万円
19. 管理費: 8000円
20. 賃料: 4万円
20. 管理費: 8000円
21. 賃料: 4万円
21. 管理費: 8000円
22. 賃料: 4万円
22. 管理費: 8000円
23. 賃料: 4万円
23. 管理費: 8000円
24. 賃料: 4万円
24. 管理費: 8000円
25. 賃料: 4万円
25. 管理費: 8000円
26. 賃料: 4万円
26. 管理費: 8000円
27. 賃料: 4万円
27. 管理費: 8000円
28. 賃料: 4万円
28. 管理費: 8000円
29. 賃料: 4万円
29. 管理費: 8000円
30. 賃料: 4万円
30. 管理費: 8000円
31. 賃料: 4万円
31. 管理費: 8000円
32. 賃料: 4万円
32. 管理費: 8000円
33. 賃料: 4万円
33. 管理費: 8000円
34. 賃料: 4万円
34. 管理費: 8000円
35. 賃料: 4万円
35. 管理費: 8000円
36. 賃料: 4万円
36. 管理費: 8000円
37. 賃料: 4万円
37. 管理費: 8000円
38. 賃料: 4万円
38. 管理費: 8000円
39. 賃料: 4万円
39. 管理費: 8000円
40. 賃料: 4万円
40. 管理費: 8000円
41. 賃料: 4万円
41. 管理費: 8000円
42. 賃料: 4万円
42. 管理費: 8000円
43. 賃料: 4万円
43. 管理費: 8000円
44. 賃料: 4万円
44. 管理費: 8000円
45. 賃料: 4万円
45. 管理費: 8000円
46. 賃料: 4万円
46. 管理費: 8000円
47. 賃料: 4.1万円
47. 管理費: 8000円
48. 賃料: 4.1万円
48. 管理費: 8000円
49. 賃料: 4.1万円
49. 管理費: 8000円
50. 賃料: 4.1万円
50. 管理費: 8000円
","1. 敷金: 5万円
1. 礼金: 3.6万円
2. 敷金: 5万円
2. 礼金: 3.7万円
3. 敷金: 5万円
3. 礼金: 3.7万円
4. 敷金: 5万円
4. 礼金: 3.7万円
5. 敷金: 5万円
5. 礼金: 3.7万円
6. 敷金: 5万円
6. 礼金: 3.7万円
7. 敷金: 5万円
7. 礼金: 3.7万円
8. 敷金: 3.7万円
8. 礼金: 3.7万円
9. 敷金: 5万円
9. 礼金: 3.8万円
10. 敷金: 5万円
10. 礼金: 3.8万円
11. 敷金: 5万円
11. 礼金: 3.8万円
12. 敷金: 5万円
12. 礼金: 3.8万円
13. 敷金: 5万円
13. 礼金: 3.9万円
14. 敷金: 3.9万円
14. 礼金: 3.9万円
15. 敷金: 5万円
15. 礼金: 3.9万円
16. 敷金: 5万円
16. 礼金: 3.9万円
17. 敷金: 5万円
17. 礼金: 4万円
18. 敷金: 5万円
18. 礼金: 4万円
19. 敷金: 5万円
19. 礼金: 4万円
20. 敷金: 5万円
20. 礼金: 4万円
21. 敷金: 5万円
21. 礼金: 4万円
22. 敷金: 5万円
22. 礼金: 4万円
23. 敷金: 5万円
23. 礼金: 4万円
24. 敷金: 5万円
24. 礼金: 4万円
25. 敷金: 5万円
25. 礼金: 4万円
26. 敷金: 5万円
26. 礼金: 4万円
27. 敷金: 5万円
27. 礼金: 4万円
28. 敷金: 5万円
28. 礼金: 4万円
29. 敷金: 5万円
29. 礼金: 4万円
30. 敷金: 5万円
30. 礼金: 4万円
31. 敷金: 5万円
31. 礼金: 4万円
32. 敷金: 5万円
32. 礼金: 4万円
33. 敷金: 5万円
33. 礼金: 4万円
34. 敷金: 5万円
34. 礼金: 4万円
35. 敷金: 4万円
35. 礼金: 4万円
36. 敷金: 5万円
36. 礼金: 4万円
37. 敷金: 5万円
37. 礼金: 4万円
38. 敷金: 5万円
38. 礼金: 4万円
39. 敷金: 4万円
39. 礼金: 4万円
40. 敷金: 5万円
40. 礼金: 4万円
41. 敷金: 5万円
41. 礼金: 4万円
42. 敷金: 5万円
42. 礼金: 4万円
43. 敷金: 4万円
43. 礼金: 4万円
44. 敷金: 5万円
44. 礼金: 4万円
45. 敷金: 5万円
45. 礼金: 4万円
46. 敷金: 5万円
46. 礼金: 4万円
47. 敷金: 5万円
47. 礼金: 4.1万円
48. 敷金: 5万円
48. 礼金: 4.1万円
49. 敷金: 5万円
49. 礼金: 4.1万円
50. 敷金: 5万円
50. 礼金: 4.1万円
","1. ワンルーム
1. 18m2
2. ワンルーム
2. 18m2
3. ワンルーム
3. 18m2
4. ワンルーム
4. 18m2
5. ワンルーム
5. 18m2
6. ワンルーム
6. 18m2
7. ワンルーム
7. 18m2
8. ワンルーム
8. 18m2
9. ワンルーム
9. 18m2
10. ワンルーム
10. 18m2
11. ワンルーム
11. 18m2
12. ワンルーム
12. 18m2
13. ワンルーム
13. 18m2
14. ワンルーム
14. 18m2
15. ワンルーム
15. 18m2
16. ワンルーム
16. 18m2
17. ワンルーム
17. 18m2
18. ワンルーム
18. 18m2
19. ワンルーム
19. 18m2
20. ワンルーム
20. 18m2
21. ワンルーム
21. 18m2
22. ワンルーム
22. 18m2
23. ワンルーム
23. 18m2
24. ワンルーム
24. 18m2
25. ワンルーム
25. 18m2
26. ワンルーム
26. 18m2
27. ワンルーム
27. 18m2
28. ワンルーム
28. 18m2
29. ワンルーム
29. 18m2
30. ワンルーム
30. 18m2
31. ワンルーム
31. 18m2
32. ワンルーム
32. 18m2
33. ワンルーム
33. 18m2
34. ワンルーム
34. 18m2
35. ワンルーム
35. 18m2
36. ワンルーム
36. 18m2
37. ワンルーム
37. 18m2
38. ワンルーム
38. 18m2
39. ワンルーム
39. 18m2
40. ワンルーム
40. 18m2
41. ワンルーム
41. 18m2
42. ワンルーム
42. 18m2
43. ワンルーム
43. 18m2
44. ワンルーム
44. 18m2
45. ワンルーム
45. 18m2
46. ワンルーム
46. 18m2
47. ワンルーム
47. 18m2
48. ワンルーム
48. 18m2
49. ワンルーム
49. 18m2
50. ワンルーム
50. 18m2
"
パーソナルI,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/南柏駅 歩36分
つくばエクスプレス/流山おおたかの森駅 歩57分
","
築30年
6階建
","
											4階","1. 賃料: 3.6万円
1. 管理費: 5000円
2. 賃料: 3.6万円
2. 管理費: 5000円
3. 賃料: 3.8万円
3. 管理費: 5000円
4. 賃料: 3.8万円
4. 管理費: 5000円
5. 賃料: 3.8万円
5. 管理費: 5000円
6. 賃料: 3.8万円
6. 管理費: 5000円
7. 賃料: 3.9万円
7. 管理費: 5000円
8. 賃料: 4万円
8. 管理費: 5000円
9. 賃料: 4万円
9. 管理費: 5000円
10. 賃料: 4.1万円
10. 管理費: 5000円
11. 賃料: 5.1万円
11. 管理費: 10500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
5. 敷金: -
5. 礼金: -
6. 敷金: -
6. 礼金: -
7. 敷金: -
7. 礼金: -
8. 敷金: -
8. 礼金: -
9. 敷金: -
9. 礼金: -
10. 敷金: -
10. 礼金: -
11. 敷金: -
11. 礼金: 5.1万円
","1. 1K
1. 17.9m2
2. 1K
2. 17.9m2
3. 1K
3. 17.9m2
4. 1K
4. 17.9m2
5. 1K
5. 17.9m2
6. 1K
6. 17.9m2
7. 1K
7. 17.9m2
8. 1K
8. 17.9m2
9. 1K
9. 17.9m2
10. 1K
10. 17.9m2
11. 1K
11. 17.9m2
"
染谷エステートビル,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩3分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏西口 歩3分
東武野田線/新柏駅 歩40分
","
築34年
10階建
","
											9階","1. 賃料: 7.8万円
1. 管理費: 7000円
2. 賃料: 8万円
2. 管理費: 7000円
","1. 敷金: 15.6万円
1. 礼金: 7.8万円
2. 敷金: 16万円
2. 礼金: 8万円
","1. 2DK
1. 51m2
2. 2DK
2. 51m2
"
コスモハイツ,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/北柏駅 歩27分
ＪＲ常磐線/南柏駅 歩40分
","
築30年
2階建
","
											2階","1. 賃料: 3.9万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 21m2
"
ロマネあけぼの,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩25分
ＪＲ常磐線/南柏駅 歩30分
","
築28年
3階建
","
											1階","1. 賃料: 5万円
1. 管理費: 2000円
2. 賃料: 5.1万円
2. 管理費: 2000円
3. 賃料: 5.1万円
3. 管理費: 2000円
","1. 敷金: 5万円
1. 礼金: -
2. 敷金: 5.1万円
2. 礼金: -
3. 敷金: 5.1万円
3. 礼金: -
","1. 1K
1. 26.1m2
2. 1K
2. 25m2
3. ワンルーム
3. 19.49m2
"
ＪＲ常磐線 柏駅 3階建 築30年,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩7分
東武野田線/柏駅 歩7分
ＪＲ常磐線/南柏駅 歩30分
","
築30年
3階建
","
											3階","1. 賃料: 5.8万円
1. 管理費: 3000円
","1. 敷金: 5.8万円
1. 礼金: -
","1. ワンルーム
1. 35.47m2
"
リブイン柏,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩13分
ＪＲ常磐線/南柏駅 歩24分
None
","
築20年
2階建
","
											2階","1. 賃料: 5.4万円
1. 管理費: 3500円
2. 賃料: 5.7万円
2. 管理費: 3500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 30m2
2. 1K
2. 30m2
"
ペリエ柏,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩25分
ＪＲ常磐線/南柏駅 歩38分
","
築31年
4階建
","
											4階","1. 賃料: 6.2万円
1. 管理費: 3000円
","1. 敷金: 6.2万円
1. 礼金: -
","1. 1LDK
1. 37.44m2
"
オークヒル・ハヤマ,千葉県柏市柏７,"ＪＲ常磐線/柏駅 歩7分
東武野田線/柏駅 歩7分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩8分
","
築26年
3階建
","
											1階","1. 賃料: 3.2万円
1. 管理費: 3000円
2. 賃料: 3.2万円
2. 管理費: 3000円
3. 賃料: 3.2万円
3. 管理費: 3000円
4. 賃料: 3.2万円
4. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
","1. 1K
1. 21.2m2
2. 1K
2. 21.2m2
3. 1K
3. 21m2
4. 1K
4. 21m2
"
