物件名,アドレス,最寄り,築年/階,階,賃料/管理費,敷金/礼金,間取り/専有面積
リッツヴィラ柏,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩4分
ＪＲ常磐線/南柏駅 歩28分
東武野田線/豊四季駅 歩34分
","
築29年
4階建
","
											4階","1. 賃料: 8.1万円
1. 管理費: 8000円
","1. 敷金: 8.1万円
1. 礼金: -
","1. 2DK
1. 42m2
"
ＪＲ常磐線 柏駅 4階建 築31年,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩25分
","
築31年
4階建
","
											4階","1. 賃料: 6.7万円
1. 管理費: 3000円
","1. 敷金: 6.7万円
1. 礼金: -
","1. 1LDK
1. 37.44m2
"
ＪＲ常磐線 柏駅 6階建 築30年,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩27分
","
築30年
6階建
","
											4階","1. 賃料: 4.1万円
1. 管理費: 5000円
2. 賃料: 5.1万円
2. 管理費: 10500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: 5.1万円
","1. 1K
1. 20.8m2
2. 1K
2. 17.9m2
"
ＪＲ常磐線 柏駅 3階建 築28年,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩6分
None
東武野田線/柏駅 歩6分
","
築28年
3階建
","
											1階","1. 賃料: 5.1万円
1. 管理費: 2000円
","1. 敷金: 5.1万円
1. 礼金: -
","1. ワンルーム
1. 19.49m2
"
YRレジデンス,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩7分
東武野田線/柏駅 歩7分
None
","
築27年
7階建
","
											4階","1. 賃料: 6.2万円
1. 管理費: 6000円
2. 賃料: 6.3万円
2. 管理費: 6000円
","1. 敷金: -
1. 礼金: 6.2万円
2. 敷金: -
2. 礼金: 6.3万円
","1. 1DK
1. 30.75m2
2. 1DK
2. 30.75m2
"
サンエクスピアハイツ,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩3分
東武野田線/柏駅 歩3分
None
","
築31年
2階建
","
											2階","1. 賃料: 7.5万円
1. 管理費: -
","1. 敷金: 7.5万円
1. 礼金: -
","1. 2DK
1. 46.6m2
"
ミレア柏,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/南柏駅 歩29分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩9分
","
築27年
2階建
","
											2階","1. 賃料: 3.9万円
1. 管理費: -
","1. 敷金: -
1. 礼金: -
","1. ワンルーム
1. 20.19m2
"
ＪＲ常磐線 柏駅 2階建 築28年,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩5分
None
None
","
築28年
2階建
","
											2階","1. 賃料: 4.6万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 20m2
"
ＧＭウエストハイツ　Ａ,千葉県柏市旭町３,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/南柏駅 歩30分
","
築26年
10階建
","
											10階","1. 賃料: 5.3万円
1. 管理費: 7000円
2. 賃料: 5.6万円
2. 管理費: 5500円
3. 賃料: 5.6万円
3. 管理費: 7000円
4. 賃料: 5.7万円
4. 管理費: 7000円
5. 賃料: 6万円
5. 管理費: 7000円
","1. 敷金: -
1. 礼金: 5.3万円
2. 敷金: -
2. 礼金: 5.6万円
3. 敷金: -
3. 礼金: 5.6万円
4. 敷金: -
4. 礼金: 5.7万円
5. 敷金: -
5. 礼金: 6万円
","1. 1K
1. 22.31m2
2. 1K
2. 22.31m2
3. 1K
3. 22.31m2
4. 1K
4. 22.31m2
5. 1K
5. 22.31m2
"
ＪＲ常磐線 柏駅 7階建 築27年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩28分
ＪＲ常磐線/南柏駅 歩38分
","
築27年
7階建
","
											4階","1. 賃料: 6.3万円
1. 管理費: 6000円
","1. 敷金: -
1. 礼金: 6.3万円
","1. 1DK
1. 30.75m2
"
ドミール柏,千葉県柏市柏,"東武野田線/柏駅 歩4分
ＪＲ常磐線/北柏駅 歩30分
ＪＲ常磐線/南柏駅 歩36分
","
築31年
13階建
","
											13階","1. 賃料: 3.6万円
1. 管理費: 8000円
2. 賃料: 3.7万円
2. 管理費: 8000円
3. 賃料: 3.7万円
3. 管理費: 8000円
4. 賃料: 3.7万円
4. 管理費: 8000円
5. 賃料: 3.7万円
5. 管理費: 8000円
6. 賃料: 3.7万円
6. 管理費: 8000円
7. 賃料: 3.7万円
7. 管理費: 8000円
8. 賃料: 3.7万円
8. 管理費: 8000円
9. 賃料: 3.8万円
9. 管理費: 8000円
10. 賃料: 3.8万円
10. 管理費: 8000円
11. 賃料: 3.8万円
11. 管理費: 8000円
12. 賃料: 3.8万円
12. 管理費: 8000円
13. 賃料: 3.9万円
13. 管理費: 8000円
14. 賃料: 3.9万円
14. 管理費: 8000円
15. 賃料: 4万円
15. 管理費: 8000円
16. 賃料: 4万円
16. 管理費: 8000円
17. 賃料: 4万円
17. 管理費: 8000円
18. 賃料: 4万円
18. 管理費: 8000円
19. 賃料: 4万円
19. 管理費: 8000円
20. 賃料: 4万円
20. 管理費: 8000円
21. 賃料: 4万円
21. 管理費: 8000円
22. 賃料: 4万円
22. 管理費: 8000円
23. 賃料: 4万円
23. 管理費: 8000円
24. 賃料: 4万円
24. 管理費: 8000円
25. 賃料: 4万円
25. 管理費: 8000円
26. 賃料: 4万円
26. 管理費: 8000円
27. 賃料: 4万円
27. 管理費: 8000円
28. 賃料: 4万円
28. 管理費: 8000円
29. 賃料: 4万円
29. 管理費: 8000円
30. 賃料: 4万円
30. 管理費: 8000円
31. 賃料: 4万円
31. 管理費: 8000円
32. 賃料: 4万円
32. 管理費: 8000円
33. 賃料: 4万円
33. 管理費: 8000円
34. 賃料: 4万円
34. 管理費: 8000円
35. 賃料: 4万円
35. 管理費: 8000円
36. 賃料: 4万円
36. 管理費: 8000円
37. 賃料: 4万円
37. 管理費: 8000円
38. 賃料: 4万円
38. 管理費: 8000円
39. 賃料: 4万円
39. 管理費: 8000円
40. 賃料: 4万円
40. 管理費: 8000円
41. 賃料: 4.1万円
41. 管理費: 8000円
42. 賃料: 4.1万円
42. 管理費: 8000円
43. 賃料: 4.1万円
43. 管理費: 8000円
44. 賃料: 4.1万円
44. 管理費: 8000円
","1. 敷金: 5万円
1. 礼金: 3.6万円
2. 敷金: 5万円
2. 礼金: 3.7万円
3. 敷金: 5万円
3. 礼金: 3.7万円
4. 敷金: 5万円
4. 礼金: 3.7万円
5. 敷金: 5万円
5. 礼金: 3.7万円
6. 敷金: 5万円
6. 礼金: 3.7万円
7. 敷金: 5万円
7. 礼金: 3.7万円
8. 敷金: 5万円
8. 礼金: 3.7万円
9. 敷金: 5万円
9. 礼金: 3.8万円
10. 敷金: 5万円
10. 礼金: 3.8万円
11. 敷金: 5万円
11. 礼金: 3.8万円
12. 敷金: 5万円
12. 礼金: 3.8万円
13. 敷金: 5万円
13. 礼金: 3.9万円
14. 敷金: 5万円
14. 礼金: 3.9万円
15. 敷金: 5万円
15. 礼金: 4万円
16. 敷金: 5万円
16. 礼金: 4万円
17. 敷金: 5万円
17. 礼金: 4万円
18. 敷金: 5万円
18. 礼金: 4万円
19. 敷金: 5万円
19. 礼金: 4万円
20. 敷金: 5万円
20. 礼金: 4万円
21. 敷金: 5万円
21. 礼金: 4万円
22. 敷金: 5万円
22. 礼金: 4万円
23. 敷金: 5万円
23. 礼金: 4万円
24. 敷金: 5万円
24. 礼金: 4万円
25. 敷金: 5万円
25. 礼金: 4万円
26. 敷金: 5万円
26. 礼金: 4万円
27. 敷金: 5万円
27. 礼金: 4万円
28. 敷金: 5万円
28. 礼金: 4万円
29. 敷金: 5万円
29. 礼金: 4万円
30. 敷金: 5万円
30. 礼金: 4万円
31. 敷金: 5万円
31. 礼金: 4万円
32. 敷金: 5万円
32. 礼金: 4万円
33. 敷金: 5万円
33. 礼金: 4万円
34. 敷金: 5万円
34. 礼金: 4万円
35. 敷金: 5万円
35. 礼金: 4万円
36. 敷金: 5万円
36. 礼金: 4万円
37. 敷金: 5万円
37. 礼金: 4万円
38. 敷金: 5万円
38. 礼金: 4万円
39. 敷金: 5万円
39. 礼金: 4万円
40. 敷金: 5万円
40. 礼金: 4万円
41. 敷金: 5万円
41. 礼金: 4.1万円
42. 敷金: 5万円
42. 礼金: 4.1万円
43. 敷金: 5万円
43. 礼金: 4.1万円
44. 敷金: 5万円
44. 礼金: 4.1万円
","1. ワンルーム
1. 18m2
2. ワンルーム
2. 18m2
3. ワンルーム
3. 18m2
4. ワンルーム
4. 18m2
5. ワンルーム
5. 18m2
6. ワンルーム
6. 18m2
7. ワンルーム
7. 18m2
8. ワンルーム
8. 18m2
9. ワンルーム
9. 18m2
10. ワンルーム
10. 18m2
11. ワンルーム
11. 18m2
12. ワンルーム
12. 18m2
13. ワンルーム
13. 18m2
14. ワンルーム
14. 18m2
15. ワンルーム
15. 18m2
16. ワンルーム
16. 18m2
17. ワンルーム
17. 18m2
18. ワンルーム
18. 18m2
19. ワンルーム
19. 18m2
20. ワンルーム
20. 18m2
21. ワンルーム
21. 18m2
22. ワンルーム
22. 18m2
23. ワンルーム
23. 18m2
24. ワンルーム
24. 18m2
25. ワンルーム
25. 18m2
26. ワンルーム
26. 18m2
27. ワンルーム
27. 18m2
28. ワンルーム
28. 18m2
29. ワンルーム
29. 18m2
30. ワンルーム
30. 18m2
31. ワンルーム
31. 18m2
32. ワンルーム
32. 18m2
33. ワンルーム
33. 18m2
34. ワンルーム
34. 18m2
35. ワンルーム
35. 18m2
36. ワンルーム
36. 18m2
37. ワンルーム
37. 18m2
38. ワンルーム
38. 18m2
39. ワンルーム
39. 18m2
40. ワンルーム
40. 18m2
41. ワンルーム
41. 18m2
42. ワンルーム
42. 18m2
43. ワンルーム
43. 18m2
44. ワンルーム
44. 18m2
"
東武野田線 柏駅 13階建 築31年,千葉県柏市柏,"東武野田線/柏駅 歩4分
ＪＲ常磐線/北柏駅 歩30分
ＪＲ常磐線/南柏駅 歩36分
","
築31年
13階建
","
											13階","1. 賃料: 3.7万円
1. 管理費: 8000円
2. 賃料: 3.7万円
2. 管理費: 8000円
3. 賃料: 3.7万円
3. 管理費: 8000円
4. 賃料: 3.7万円
4. 管理費: 8000円
5. 賃料: 3.8万円
5. 管理費: 8000円
6. 賃料: 3.8万円
6. 管理費: 8000円
7. 賃料: 3.8万円
7. 管理費: 8000円
8. 賃料: 3.8万円
8. 管理費: 8000円
9. 賃料: 3.9万円
9. 管理費: 8000円
10. 賃料: 3.9万円
10. 管理費: 8000円
11. 賃料: 4万円
11. 管理費: 8000円
12. 賃料: 4万円
12. 管理費: 8000円
13. 賃料: 4万円
13. 管理費: 8000円
14. 賃料: 4万円
14. 管理費: 8000円
15. 賃料: 4万円
15. 管理費: 8000円
16. 賃料: 4万円
16. 管理費: 8000円
17. 賃料: 4万円
17. 管理費: 8000円
18. 賃料: 4万円
18. 管理費: 8000円
19. 賃料: 4万円
19. 管理費: 8000円
20. 賃料: 4万円
20. 管理費: 8000円
21. 賃料: 4万円
21. 管理費: 8000円
22. 賃料: 4万円
22. 管理費: 8000円
23. 賃料: 4万円
23. 管理費: 8000円
24. 賃料: 4万円
24. 管理費: 8000円
25. 賃料: 4万円
25. 管理費: 8000円
26. 賃料: 4万円
26. 管理費: 8000円
27. 賃料: 4万円
27. 管理費: 8000円
28. 賃料: 4万円
28. 管理費: 8000円
29. 賃料: 4.1万円
29. 管理費: 8000円
30. 賃料: 4.1万円
30. 管理費: 8000円
31. 賃料: 4.1万円
31. 管理費: 8000円
32. 賃料: 4.1万円
32. 管理費: 8000円
","1. 敷金: 5万円
1. 礼金: 3.7万円
2. 敷金: 5万円
2. 礼金: 3.7万円
3. 敷金: 5万円
3. 礼金: 3.7万円
4. 敷金: 5万円
4. 礼金: 3.7万円
5. 敷金: 5万円
5. 礼金: 3.8万円
6. 敷金: 5万円
6. 礼金: 3.8万円
7. 敷金: 5万円
7. 礼金: 3.8万円
8. 敷金: 5万円
8. 礼金: 3.8万円
9. 敷金: 5万円
9. 礼金: 3.9万円
10. 敷金: 5万円
10. 礼金: 3.9万円
11. 敷金: 5万円
11. 礼金: 4万円
12. 敷金: 5万円
12. 礼金: 4万円
13. 敷金: 5万円
13. 礼金: 4万円
14. 敷金: 5万円
14. 礼金: 4万円
15. 敷金: 5万円
15. 礼金: 4万円
16. 敷金: 5万円
16. 礼金: 4万円
17. 敷金: 5万円
17. 礼金: 4万円
18. 敷金: 5万円
18. 礼金: 4万円
19. 敷金: 5万円
19. 礼金: 4万円
20. 敷金: 5万円
20. 礼金: 4万円
21. 敷金: 5万円
21. 礼金: 4万円
22. 敷金: 5万円
22. 礼金: 4万円
23. 敷金: 5万円
23. 礼金: 4万円
24. 敷金: 5万円
24. 礼金: 4万円
25. 敷金: 5万円
25. 礼金: 4万円
26. 敷金: 5万円
26. 礼金: 4万円
27. 敷金: 5万円
27. 礼金: 4万円
28. 敷金: 5万円
28. 礼金: 4万円
29. 敷金: 5万円
29. 礼金: 4.1万円
30. 敷金: 5万円
30. 礼金: 4.1万円
31. 敷金: 5万円
31. 礼金: 4.1万円
32. 敷金: 5万円
32. 礼金: 4.1万円
","1. ワンルーム
1. 18m2
2. ワンルーム
2. 18m2
3. ワンルーム
3. 18m2
4. ワンルーム
4. 18m2
5. ワンルーム
5. 18m2
6. ワンルーム
6. 18m2
7. ワンルーム
7. 18m2
8. ワンルーム
8. 18m2
9. ワンルーム
9. 18m2
10. ワンルーム
10. 18m2
11. ワンルーム
11. 18m2
12. ワンルーム
12. 18m2
13. ワンルーム
13. 18m2
14. ワンルーム
14. 18m2
15. ワンルーム
15. 18m2
16. ワンルーム
16. 18m2
17. ワンルーム
17. 18m2
18. ワンルーム
18. 18m2
19. ワンルーム
19. 18m2
20. ワンルーム
20. 18m2
21. ワンルーム
21. 18m2
22. ワンルーム
22. 18m2
23. ワンルーム
23. 18m2
24. ワンルーム
24. 18m2
25. ワンルーム
25. 18m2
26. ワンルーム
26. 18m2
27. ワンルーム
27. 18m2
28. ワンルーム
28. 18m2
29. ワンルーム
29. 18m2
30. ワンルーム
30. 18m2
31. ワンルーム
31. 18m2
32. ワンルーム
32. 18m2
"
サングリーン海道割,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/南柏駅 歩46分
つくばエクスプレス/柏の葉キャンパス駅 歩47分
","
築21年
8階建
","
											3階","1. 賃料: 12万円
1. 管理費: 10000円
","1. 敷金: -
1. 礼金: -
","1. 2SLDK
1. 75.03m2
"
ＪＲ常磐線 柏駅 8階建 築25年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩27分
None
","
築25年
8階建
","
											5階","1. 賃料: 12.3万円
1. 管理費: 10000円
2. 賃料: 12.5万円
2. 管理費: 10000円
3. 賃料: 12.8万円
3. 管理費: 10000円
4. 賃料: 12.8万円
4. 管理費: 15000円
","1. 敷金: 12.3万円
1. 礼金: -
2. 敷金: 12.5万円
2. 礼金: -
3. 敷金: 12.8万円
3. 礼金: -
4. 敷金: 12.8万円
4. 礼金: -
","1. 3LDK
1. 69.91m2
2. 3LDK
2. 70.57m2
3. 3LDK
3. 70.57m2
4. 3LDK
4. 70.54m2
"
ＪＲ常磐線 柏駅 3階建 築27年,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/北柏駅 歩25分
None
","
築27年
3階建
","
											3階","1. 賃料: 3.6万円
1. 管理費: 3000円
2. 賃料: 3.7万円
2. 管理費: 3000円
3. 賃料: 3.9万円
3. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. 1K
1. 17.5m2
2. 1K
2. 17.5m2
3. 1K
3. 17.5m2
"
オーバル柏,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩4分
ＪＲ常磐線/南柏駅 歩29分
東武野田線/豊四季駅 歩36分
","
築28年
3階建
","
											2階","1. 賃料: 4.3万円
1. 管理費: 2000円
2. 賃料: 4.4万円
2. 管理費: 2000円
3. 賃料: 4.6万円
3. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. 1K
1. 20m2
2. ワンルーム
2. 20m2
3. 1K
3. 20m2
"
レオパレスプリマベーラ,千葉県柏市あけぼの５,"ＪＲ常磐線/柏駅 歩11分
ＪＲ常磐線/北柏駅 バス4分 (バス停)あけぼの町 歩5分
つくばエクスプレス/柏の葉キャンパス駅 バス21分 (バス停)篠篭田 歩3分
","
築21年
2階建
","
											2階","1. 賃料: 5万円
1. 管理費: 4500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 20.28m2
"
ＪＲ常磐線 柏駅 10階建 築26年,千葉県柏市旭町３,"ＪＲ常磐線/柏駅 歩4分
ＪＲ常磐線/南柏駅 歩30分
None
","
築26年
10階建
","
											10階","1. 賃料: 5.6万円
1. 管理費: 6000円
2. 賃料: 5.6万円
2. 管理費: 7000円
3. 賃料: 5.7万円
3. 管理費: 7000円
4. 賃料: 6万円
4. 管理費: 7000円
","1. 敷金: -
1. 礼金: 5.5万円
2. 敷金: -
2. 礼金: 5.6万円
3. 敷金: -
3. 礼金: 5.7万円
4. 敷金: -
4. 礼金: 6万円
","1. 1K
1. 22.31m2
2. 1K
2. 22.31m2
3. 1K
3. 22.31m2
4. 1K
4. 22.31m2
"
ＪＲ常磐線 柏駅 2階建 築21年,千葉県柏市あけぼの５,"ＪＲ常磐線/柏駅 歩11分
ＪＲ常磐線/北柏駅 車6分(2.2km)
つくばエクスプレス/柏の葉キャンパス駅 車11分(3.7km)
","
築21年
2階建
","
											2階","1. 賃料: 4.8万円
1. 管理費: 4500円
2. 賃料: 5万円
2. 管理費: 4500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 20.28m2
2. 1K
2. 20.28m2
"
コートヤードシブヤ,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/南柏駅 歩38分
東武野田線/新柏駅 歩41分
","
築26年
3階建
","
											3階","1. 賃料: 3.6万円
1. 管理費: 3000円
2. 賃料: 3.7万円
2. 管理費: 3000円
3. 賃料: 3.6万円
3. 管理費: 5000円
4. 賃料: 3.9万円
4. 管理費: 5000円
","1. 敷金: -
1. 礼金: 3.6万円
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
","1. 1K
1. 17.5m2
2. 1K
2. 17.5m2
3. 1K
3. 17.5m2
4. 1K
4. 17.5m2
"
ＳＫヴィラ,千葉県柏市旭町３,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/南柏駅 歩30分
ＪＲ常磐線/北柏駅 歩34分
","
築29年
3階建
","
											3階","1. 賃料: 5.3万円
1. 管理費: 3000円
","1. 敷金: 5.3万円
1. 礼金: -
","1. 1K
1. 19.6m2
"
ルミエールジビキ,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩29分
","
築26年
5階建
","
											4階","1. 賃料: 17.5万円
1. 管理費: 3000円
","1. 敷金: 17.5万円
1. 礼金: 17.5万円
","1. 3LDK
1. 105.48m2
"
アクティー柏,千葉県柏市旭町１,"ＪＲ常磐線/柏駅 歩3分
ＪＲ常磐線/南柏駅 歩30分
東武野田線/柏駅 歩3分
","
築27年
4階建
","
											2階","1. 賃料: 5万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 22.27m2
"
ミレニアムハイツ,千葉県柏市旭町３,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/南柏駅 歩33分
東武野田線/豊四季駅 歩36分
","
築22年
4階建
","
											4階","1. 賃料: 5.6万円
1. 管理費: 4500円
2. 賃料: 6.1万円
2. 管理費: 4500円
","1. 敷金: -
1. 礼金: 5.6万円
2. 敷金: -
2. 礼金: 6.1万円
","1. 1K
1. 25.84m2
2. 1DK
2. 26.54m2
"
エスティアム,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/北柏駅 歩23分
ＪＲ常磐線/南柏駅 歩40分
","
築24年
3階建
","
											1階","1. 賃料: 4.8万円
1. 管理費: 2000円
","1. 敷金: 4.8万円
1. 礼金: -
","1. 1K
1. 19.04m2
"
モアルヤタ藤,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/南柏駅 歩24分
つくばエクスプレス/流山おおたかの森駅 歩49分
","
築20年
3階建
","
											2階","1. 賃料: 6万円
1. 管理費: 4000円
2. 賃料: 6.5万円
2. 管理費: 6000円
","1. 敷金: 6万円
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. ワンルーム
1. 30.65m2
2. ワンルーム
2. 30.6m2
"
グレイス,千葉県柏市旭町５,"ＪＲ常磐線/柏駅 歩15分
東武野田線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩18分
","
築15年
4階建
","
											4階","1. 賃料: 7.5万円
1. 管理費: 3000円
2. 賃料: 7.5万円
2. 管理費: 3000円
","1. 敷金: 7.5万円
1. 礼金: -
2. 敷金: 7.5万円
2. 礼金: -
","1. 1DK
1. 39.96m2
2. 1DK
2. 39.96m2
"
アヴニール柏,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/南柏駅 歩28分
東武野田線/豊四季駅 歩30分
","
築17年
2階建
","
											1階","1. 賃料: 4.5万円
1. 管理費: 2000円
2. 賃料: 4.5万円
2. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 21.18m2
2. 1K
2. 21.18m2
"
ＪＲ常磐線 柏駅 2階建 築23年,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩8分
東武野田線/柏駅 歩8分
ＪＲ常磐線/北柏駅 歩28分
","
築23年
2階建
","
											1階","1. 賃料: 4.9万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 19.87m2
"
コンブリオ柏,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/北柏駅 歩27分
東武野田線/豊四季駅 歩40分
","
築21年
4階建
","
											1階","1. 賃料: 6.2万円
1. 管理費: 4000円
","1. 敷金: -
1. 礼金: -
","1. 1DK
1. 30.01m2
"
葉山レジデンス,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩13分
ＪＲ常磐線/柏駅 歩13分
東武野田線/柏駅 歩13分
","
築17年
4階建
","
											4階","1. 賃料: 7.2万円
1. 管理費: 5000円
","1. 敷金: 7.2万円
1. 礼金: -
","1. 1K
1. 31.02m2
"
セレッソ濱嶋,千葉県柏市柏７,"ＪＲ常磐線/柏駅 歩14分
東武野田線/柏駅 歩14分
ＪＲ常磐線/北柏駅 歩28分
","
築17年
2階建
","
											1階","1. 賃料: 7.7万円
1. 管理費: 3000円
","1. 敷金: 7.7万円
1. 礼金: -
","1. 1LDK
1. 42.95m2
"
ＪＲ常磐線 柏駅 4階建 築22年,千葉県柏市旭町３,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/南柏駅 車12分(3.4km)
東武野田線/豊四季駅 車13分(2.8km)
","
築22年
4階建
","
											4階","1. 賃料: 5.6万円
1. 管理費: 4500円
2. 賃料: 6.1万円
2. 管理費: 4500円
","1. 敷金: -
1. 礼金: 5.6万円
2. 敷金: -
2. 礼金: 6.1万円
","1. 1DK
1. 25.84m2
2. 1DK
2. 26.54m2
"
ＪＲ常磐線 柏駅 4階建 築15年,千葉県柏市旭町５,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩21分
つくばエクスプレス/流山おおたかの森駅 車15分(4.8km)
","
築15年
4階建
","
											4階","1. 賃料: 6.2万円
1. 管理費: 3000円
2. 賃料: 7.5万円
2. 管理費: 3000円
3. 賃料: 7.5万円
3. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
2. 敷金: 7.5万円
2. 礼金: -
3. 敷金: 7.5万円
3. 礼金: -
","1. 1K
1. 29.6m2
2. 1DK
2. 39.96m2
3. 1DK
3. 39.96m2
"
フォレスト柏,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩24分
東武野田線/柏駅 歩10分
","
築20年
2階建
","
											1階","1. 賃料: 4.4万円
1. 管理費: 4000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 20.47m2
"
信濃屋ハウス,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩6分
東武野田線/柏駅 歩6分
ＪＲ常磐線/南柏駅 歩28分
","
築24年
2階建
","
											1階","1. 賃料: 4.9万円
1. 管理費: -
2. 賃料: 4.9万円
2. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: 4.9万円
","1. ワンルーム
1. 24.31m2
2. ワンルーム
2. 26.44m2
"
